"Player","Team","Position","Over_Pass_Yards","Throw_TDs","Rec_Yards","Rec_TDs","Rush_Yards","Rush_TDs","xFP","xFP_per_game","Scheme_Balance","Position_Focus","Proj_Season_Pts","Percentile","Rookie"
"Tucker Kraft","Green Bay Packers","TE","","","625.5","","","","63.55","3.74","balanced","WR","410.5","","0"
"Adam Thielen","Carolina Panthers","WR","","","550.5","","","","56.05","3.3","pass-heavy","WR","368.5","","0"
"Jayden Higgins","Houston Texans","WR","","","650.5","","","","66.05","3.89","pass-heavy","WR","399.5","78.9%","1"
"Xavier Worthy","Kansas City Chiefs","WR","","","900.5","","","","91.05","5.36","pass-heavy","WR","435.5","","0"
"Alvin Kamara","New Orleans Saints","RB","","","425.5","","775.5","","121.1","7.12","pass-heavy","WR","331.5","","0"
"Dallas Goedert","Philadelphia Eagles","TE","","","575.5","","","","58.55","3.44","pass-heavy","WR","432.5","","0"
"Rashid Shaheed","New Orleans Saints","WR","","","700.5","","","","71.05","4.18","pass-heavy","WR","331.5","","0"
"Marquise Brown","Kansas City Chiefs","WR","","","575.5","","","","58.55","3.44","pass-heavy","WR","435.5","","0"
"Xavier Legette","Carolina Panthers","WR","","","550.5","","","","56.05","3.3","pass-heavy","WR","368.5","","0"
"Breece Hall","New York Jets","RB","","","350.5","","900.5","","126.1","7.42","pass-heavy","WR","335.5","","0"
"David Njoku","Cleveland Browns","TE","","","625.5","","","","63.55","3.74","pass-heavy","WR","325.5","","0"
"Christian McCaffrey","San Francisco 49ers","RB","","","425.5","","950.5","","138.6","8.15","balanced","TE","415.5","","0"
"Jerry Jeudy","Cleveland Browns","WR","","","900.5","","","","91.05","5.36","pass-heavy","WR","325.5","","0"
"Evan Engram","Denver Broncos","TE","","","575.5","","","","58.55","3.44","pass-heavy","WR","403.5","","0"
"Calvin Ridley","Tennessee Titans","WR","","","925.5","","","","93.55","5.5","balanced","RB","359.5","","0"
"Jaxon Smith-Njigba","Seattle Seahawks","WR","","","975.5","","","","98.55","5.8","pass-heavy","WR","389.5","","0"
"Chase Brown","Cincinnati Bengals","RB","","","300.5","","900.5","","121.1","7.12","pass-heavy","WR","445.5","","0"
"Jordan Addison","Minnesota Vikings","WR","","","625.5","","","","63.55","3.74","pass-heavy","WR","390.5","","0"
"Josh Jacobs","Green Bay Packers","RB","","","","","1050.5","9.5","162.05","9.53","balanced","WR","410.5","","0"
"Kyren Williams","Los Angeles Rams","RB","","","","","1000.5","10.5","163.05","9.59","pass-heavy","WR","415.5","","0"
"Jonathan Taylor","Indianapolis Colts","RB","","","","","1200.5","9.5","177.05","10.41","pass-heavy","WR","365.5","","0"
